Tubss,Lon,Lat,Model,Month,tmax_RCP85,tmin_RCP85
CP2,-122.5,38.6,MIROC6,April,21.89999962,8.100000381
CP3,-122.9,38.4,MIROC6,April,23.20000076,8.800000191
CP4,-122.5,38.7,MIROC6,April,23.5,8.699999809
CP5,-122.720306,38.44466,MIROC6,April,25,9.800000191
CP1,-122.9,38.4,MIROC6,May,26.39999962,10.80000019
CP2,-122.5,38.6,MIROC6,May,26.89999962,11.19999981
CP3,-122.9,38.4,MIROC6,May,26.39999962,10.80000019
CP4,-122.5,38.7,MIROC6,May,28.60000038,12
CP5,-122.720306,38.44466,MIROC6,May,28.89999962,12.19999981
CP1,-122.9,38.4,MIROC6,June,29.29999924,12.89999962
CP2,-122.5,38.6,MIROC6,June,31.10000038,14.30000019
CP3,-122.9,38.4,MIROC6,June,29.29999924,12.89999962
CP4,-122.5,38.7,MIROC6,June,33.09999847,15.19999981
CP5,-122.720306,38.44466,MIROC6,June,32.29999924,14.80000019
CP1,-122.9,38.4,MIROC6,July,31.39999962,14
CP2,-122.5,38.6,MIROC6,July,34.79999924,17
CP3,-122.9,38.4,MIROC6,July,31.39999962,14
CP4,-122.5,38.7,MIROC6,July,36.79999924,17.60000038
CP5,-122.720306,38.44466,MIROC6,July,34.29999924,15.80000019
CP1,-122.9,38.4,MIROC6,August,31.60000038,14.60000038
CP2,-122.5,38.6,MIROC6,August,35.09999847,17
CP3,-122.9,38.4,MIROC6,August,31.60000038,14.60000038
CP4,-122.5,38.7,MIROC6,August,36.90000153,17.29999924
CP5,-122.720306,38.44466,MIROC6,August,34.20000076,16.10000038
CP1,-122.9,38.4,MIROC6,September,31.5,14.10000038
CP2,-122.5,38.6,MIROC6,September,33.20000076,16
CP3,-122.9,38.4,MIROC6,September,31.5,14.10000038
CP4,-122.5,38.7,MIROC6,September,34.70000076,16
CP5,-122.720306,38.44466,MIROC6,September,33.90000153,15.5
CP1,-122.9,38.4,MIROC6,October,28.79999924,11.80000019
CP2,-122.5,38.6,MIROC6,October,28.5,13.19999981
CP3,-122.9,38.4,MIROC6,October,28.79999924,11.80000019
CP4,-122.5,38.7,MIROC6,October,29.60000038,12.69999981
CP5,-122.720306,38.44466,MIROC6,October,30.5,12.69999981
CP1,-122.9,38.4,MIROC6,November,21.79999924,8.600000381
CP2,-122.5,38.6,MIROC6,November,19.89999962,8.800000191
CP3,-122.9,38.4,MIROC6,November,21.79999924,8.600000381
CP4,-122.5,38.7,MIROC6,November,20.70000076,8.300000191
CP5,-122.720306,38.44466,MIROC6,November,22.70000076,9.100000381
CP1,-122.9,38.4,MIROC6,December,17.29999924,6.300000191
CP2,-122.5,38.6,MIROC6,December,15.80000019,6.400000095
CP3,-122.9,38.4,MIROC6,December,17.29999924,6.300000191
CP4,-122.5,38.7,MIROC6,December,16.10000038,5.699999809
CP5,-122.720306,38.44466,MIROC6,December,18.29999924,6.699999809
CP1,-122.9,38.4,MRI.ESM2.0,Jan,16.89999962,6.599999905
CP2,-122.5,38.6,MRI.ESM2.0,Jan,15.69999981,6.699999809
CP3,-122.9,38.4,MRI.ESM2.0,Jan,16.89999962,6.599999905
CP4,-122.5,38.7,MRI.ESM2.0,Jan,16.10000038,6
CP5,-122.720306,38.44466,MRI.ESM2.0,Jan,18.10000038,7.099999905
CP1,-122.9,38.4,MRI.ESM2.0,Feb,19.20000076,7.5
CP2,-122.5,38.6,MRI.ESM2.0,Feb,16.79999924,6.5
CP3,-122.9,38.4,MRI.ESM2.0,Feb,19.20000076,7.5
CP4,-122.5,38.7,MRI.ESM2.0,Feb,17.79999924,6.400000095
CP5,-122.720306,38.44466,MRI.ESM2.0,Feb,20.70000076,8.300000191
CP1,-122.9,38.4,MRI.ESM2.0,March,20.39999962,8.199999809
CP2,-122.5,38.6,MRI.ESM2.0,March,18.29999924,6.900000095
CP3,-122.9,38.4,MRI.ESM2.0,March,20.39999962,8.199999809
CP4,-122.5,38.7,MRI.ESM2.0,March,19.79999924,7.400000095
CP5,-122.720306,38.44466,MRI.ESM2.0,March,22,9.100000381
CP1,-122.9,38.4,MRI.ESM2.0,April,22.5,8.300000191
CP2,-122.5,38.6,MRI.ESM2.0,April,21.10000038,7.5
CP3,-122.9,38.4,MRI.ESM2.0,April,22.5,8.300000191
CP4,-122.5,38.7,MRI.ESM2.0,April,22.70000076,8.100000381
CP5,-122.720306,38.44466,MRI.ESM2.0,April,24.29999924,9.300000191
CP1,-122.9,38.4,MRI.ESM2.0,May,25.60000038,10.5
CP2,-122.5,38.6,MRI.ESM2.0,May,26,10.80000019
CP3,-122.9,38.4,MRI.ESM2.0,May,25.60000038,10.5
CP4,-122.5,38.7,MRI.ESM2.0,May,27.70000076,11.69999981
CP5,-122.720306,38.44466,MRI.ESM2.0,May,28.10000038,11.89999962
CP1,-122.9,38.4,MRI.ESM2.0,June,29.10000038,13
CP2,-122.5,38.6,MRI.ESM2.0,June,31,14.60000038
CP3,-122.9,38.4,MRI.ESM2.0,June,29.10000038,13
CP4,-122.5,38.7,MRI.ESM2.0,June,32.90000153,15.5
CP5,-122.720306,38.44466,MRI.ESM2.0,June,32.20000076,15
CP1,-122.9,38.4,MRI.ESM2.0,July,30.20000076,13.5
CP2,-122.5,38.6,MRI.ESM2.0,July,33.5,16.39999962
CP3,-122.9,38.4,MRI.ESM2.0,July,30.20000076,13.5
CP4,-122.5,38.7,MRI.ESM2.0,July,35.5,17.10000038
CP5,-122.720306,38.44466,MRI.ESM2.0,July,33,15.19999981
CP1,-122.9,38.4,MRI.ESM2.0,August,31.60000038,14.69999981
CP2,-122.5,38.6,MRI.ESM2.0,August,35.59999847,17.39999962
CP3,-122.9,38.4,MRI.ESM2.0,August,31.60000038,14.69999981
CP4,-122.5,38.7,MRI.ESM2.0,August,37.5,17.79999924
CP5,-122.720306,38.44466,MRI.ESM2.0,August,34.40000153,16.29999924
CP1,-122.9,38.4,MRI.ESM2.0,September,31.89999962,14.69999981
CP2,-122.5,38.6,MRI.ESM2.0,September,33.90000153,17
CP3,-122.9,38.4,MRI.ESM2.0,September,31.89999962,14.69999981
CP4,-122.5,38.7,MRI.ESM2.0,September,35.5,17
CP5,-122.720306,38.44466,MRI.ESM2.0,September,34.29999924,16.20000076
CP1,-122.9,38.4,MRI.ESM2.0,October,29.10000038,12.5
CP2,-122.5,38.6,MRI.ESM2.0,October,28.79999924,14.10000038
CP3,-122.9,38.4,MRI.ESM2.0,October,29.10000038,12.5
CP4,-122.5,38.7,MRI.ESM2.0,October,29.89999962,13.69999981
CP5,-122.720306,38.44466,MRI.ESM2.0,October,30.79999924,13.5
CP1,-122.9,38.4,MRI.ESM2.0,November,22.29999924,9
CP2,-122.5,38.6,MRI.ESM2.0,November,20.5,9.199999809
CP3,-122.9,38.4,MRI.ESM2.0,November,22.29999924,9
CP4,-122.5,38.7,MRI.ESM2.0,November,21.29999924,8.699999809
CP5,-122.720306,38.44466,MRI.ESM2.0,November,23.29999924,9.5
CP1,-122.9,38.4,MRI.ESM2.0,December,17.29999924,6.5
CP2,-122.5,38.6,MRI.ESM2.0,December,15.80000019,6.400000095
CP3,-122.9,38.4,MRI.ESM2.0,December,17.29999924,6.5
CP4,-122.5,38.7,MRI.ESM2.0,December,16.20000076,5.699999809
CP5,-122.720306,38.44466,MRI.ESM2.0,December,18.29999924,6.800000191
